['id', 'title', 'rate']
['26825482', '月球陨落', '5.4']
['35284253', '青春变形记', '8.2']
['35372792', '老师，您能坐在我旁边吗？', '7.2']
['30142421', '阿波罗10½号：太空时代的童年', '7.4']
['35235502', '驾驶我的车', '7.9']
['33437152', '犬之力', '7.8']
['35774719', '星期四', '7.8']
['30481476', '国王理查德', '7.4']
['35215390', '狙击手', '7.7']
['27203644', '尼罗河上的惨案', '5.8']
['30472643', '精灵旅社4：变身大冒险', '6.3']
['35505100', '这个杀手不太冷静', '6.3']
['30469922', '密室逃生2', '6.2']
['26933210', '蜘蛛侠：英雄无归', '6.7']
['34447553', '世界上最糟糕的人', '7.9']
['33442722', '承包商', '5.8']
['26897885', '芬奇', '8.4']
['35652715', '杰伊·比姆', '8.7']
['35258381', '天鹅挽歌', '8.0']
['35134724', '魔法满屋', '6.4']
['3001114', '沙丘', '7.7']
['27605105', '玉面情魔', '6.8']
['30300279', '法兰西特派', '7.7']
['34970181', '亚当计划', '6.3']
['35242938', '瀑布', '7.6']
['30279170', '倒数时刻', '8.2']
['35312401', '月老', '6.7']
['34888057', '甘草披萨', '6.8']
['35708412', '永结同心', '7.8']
['34950972', '假面之夜', '6.3']
['30359376', '美国女孩', '7.4']
['27038228', '王牌特工：源起', '5.3']
['34884712', '不要抬头', '7.6']
['34890921', '柳浪闻莺', '6.2']
['30475837', '杨之后', '7.3']
['3078409', '古驰家族', '6.3']
['30382416', '毒液2', '5.0']
['26820621', '西区故事', '6.1']
['35202363', '新鲜', '6.3']
['35299584', '贝尔法斯特', '6.8']
['26962981', '欢乐好声音2', '7.1']
['35410551', '泡泡剧组', '5.6']
['25828589', '黑寡妇', '6.2']
['35286583', '蜡笔小新：谜团！花之天下春日部学院', '9.0']
['33440550', '塔米·菲的眼睛', '6.5']
['35422807', '扬名立万', '7.4']
['34658290', '最后的决斗', '8.3']
['35068653', '误杀2', '5.7']
['30223888', '永恒族', '5.8']
['26933588', '圣母', '7.8']
['35414623', '咒术回战0 剧场版', '8.4']
['27601500', '王者制造', '7.3']
['30344474', '暗处的女儿', '7.5']
['35511448', '三个月', '7.1']
['35134764', '上帝之手', '7.7']
['35241052', '解禁男女', '6.6']
['35376457', '爱情神话', '8.1']
['35683855', '带你去见我妈', '7.5']
['35123985', '平行母亲', '7.2']
['35318021', '正发生', '7.8']
['26741632', 'X特遣队：全员集结', '8.0']
['35262731', '浅草小子', '8.3']
['30143331', '红色通缉令', '6.3']
['30337388', '失控玩家', '7.5']
['26928478', '东北虎', '5.9']
['35446144', '以年为单位的恋爱', '5.2']
['33437580', '天赐灵机', '7.6']
['34970325', '无辜者', '7.0']
['35732705', '暂无出口', '6.4']
['35101435', '斯宾塞', '6.5']
['20276229', '007：无暇赴死', '6.6']
['35377026', '熊出没·重返地球', '6.5']
['33457594', '摩加迪沙', '8.1']
['35390650', '我的樱花恋人', '6.4']
['33407124', '浪客剑心 最终章 追忆篇', '8.5']
['35307456', '穿过寒冬拥抱你', '6.0']
['34801038', '黑客帝国：矩阵重启', '5.7']
['30394797', '尚气与十环传奇', '6.1']
['1428581', '天书奇谭', '9.2']
['34927643', '六号车厢', '7.7']
['35243106', '黑蟹行动', '5.8']
['25909236', '致命感应', '6.8']
['35293160', '在糟糕的日子里', '7.5']
['34947776', '守岛人', '7.4']
['30447440', 'Soho区惊魂夜', '6.8']
['35280911', '角色', '6.6']
['34470709', '巨星嫁到', '5.4']
['30137576', '记忆', '7.7']
['34869121', '警官之血', '6.4']
['25845392', '长津湖', '7.4']
['34820925', '钛', '6.4']
['35348991', '心慌方', '4.3']
['35377090', '义犬救主', '7.4']
['32493124', '悬崖之上', '7.6']
['35287908', '龙和雀斑公主', '6.1']
['35161768', '夏日友晴天', '7.3']
['35441371', '隔窗恋爱', '5.5']
['35294995', '我和我的父辈', '6.5']
['26703121', '黑白魔女库伊拉', '6.8']
['30229667', '智能大反攻', '7.3']
['35208823', '灵媒', '6.4']
['35259430', '我们都无法成为大人', '7.5']
['33386178', '麦克白的悲剧', '7.2']
['35017064', '老去', '6.4']
['34981939', '偷窥者', '6.8']
['27200859', '来自远方', '9.1']
['35522484', '黄金屋', '5.4']
['35700386', '爱的千丝万缕', '7.6']
['26996619', '古董局中局', '5.9']
['26140265', '新生化危机', '4.6']
['35231901', '羽毛', '7.2']
['35477218', '怪奇宅', '6.8']
['30167974', '浪客剑心 最终章 人诛篇', '7.5']
['35314433', '辉夜大小姐想让我告白：天才们的恋爱头脑战 完结篇', '6.4']
['34984272', '惊声尖叫5', '5.7']
['34840705', '呼朋引伴', '7.8']
['34927916', '不速来客', '6.6']
['35158124', '盛夏未来', '7.1']
['30363636', '我眼中的阴影', '7.7']
['35212085', '破裂', '7.1']
['34881711', '忠犬', '6.8']
['26838236', '超能敢死队', '6.1']
['35052204', '谁可以这样爱我', '6.8']
['35584330', '烈日阳光', '7.9']
['30176790', '梅艳芳', '6.9']
['35030151', '五个扑水的少年', '7.2']
['30200089', '喜欢你是你', '6.7']
['30201133', '机动战士高达 闪光的哈萨维', '8.4']
['25728006', '速度与激情9', '5.2']
['35437945', '枕刀歌之尘世行', '7.6']
['30465538', '法兰西', '6.9']
['35009757', '海盗2：鬼怪的旗帜', '5.6']
['35190036', '一切顺利', '7.3']
['35240917', '慕尼黑：战争边缘', '7.5']
['25881778', '我要我们在一起', '6.0']
['35612092', '上帝的驱魔', '6.1']
['27008393', '不老奇事', '6.2']
['35691909', '鬼灭之刃 浅草篇', '9.0']
['35507175', '支离破碎', '5.8']
['35202921', '让我聆听爱的歌声', '7.5']
['30435124', '白蛇2：青蛇劫起', '6.8']
['27077479', '招魂3', '6.4']
['30442497', '特送', '6.5']
['33406477', '抱紧我', '7.4']
['35669441', '希尔达与山丘之王', '8.3']
['34963486', '电影之神', '7.2']
['35251025', '红色火箭', '7.0']
['35275351', '日暮将暮', '7.0']
['35031562', '白色大厦', '6.1']
['35210620', '阿娜伊斯爱情', '7.7']
['35087699', '中国医生', '6.9']
['34966906', '一个英雄', '7.5']
['35164328', '扫黑·决战', '6.0']
['35651911', '鬼灭之刃 鼓屋敷篇', '8.9']
['34614665', '静水城', '7.1']
['35205446', '铁道英雄', '5.8']
['30391140', '致埃文·汉森', '6.7']
['35023648', '恋爱寄生虫', '5.5']
['34908189', '老友记重聚特辑', '9.2']
['34948441', '小虎墩大英雄', '5.7']
['32568661', '妈妈的神奇小子', '6.9']
['35465742', '在你面前', '7.6']
['34663377', '路易斯·韦恩的激情人生', '7.6']
['30216729', '王牌保镖2', '6.3']
['29984000', '热带往事', '6.2']
['35491291', '血光假期', '5.7']
['30206311', '寂静之地2', '6.4']
['33450426', '电锯惊魂9：漩涡', '5.2']
['35473217', '限时单身', '7.4']
['35093796', '奇迹', '7.6']
['34821331', '我的丈夫得了躁郁症', '6.2']
['34954372', '狼与狮子', '6.8']
['26604217', '里卡多一家', '6.3']
['33450810', '羊崽', '5.8']
['30174085', '怒火·重案', '7.2']
['35573989', '天空', '6.9']
['35608160', '喜羊羊与灰太狼之筐出未来', '6.9']
['35700001', '特利迦奥特曼 Episode Z', '7.5']
['35375982', '德维塔耶夫', '7.6']
['35377057', 'KIMI', '6.2']
['3099221', '活死人军团', '5.2']
['35259282', '援助', '7.8']
['27046740', '人之怒', '6.7']
['34891825', '巨型漏洞', '6.4']
['34981294', '沸点', '7.3']
['30378158', '秘密访客', '5.3']
['30372022', '绿衣骑士', '6.5']
['33454993', '名侦探柯南：绯色的子弹', '5.6']
['27056396', '宝贝老板2', '6.8']
['27605563', '鹿角', '5.3']
['35380800', '剑客卡南', '8.0']
['35452679', '童一个世界', '7.8']
['34960130', '深宅', '5.9']
['35422745', '飞行员', '6.9']
['34894551', '北海', '6.1']
['26856202', '安妮特', '6.9']
['30444940', '恐惧街3', '7.2']
['33447881', '彼得罗夫的流感', '7.6']
['35271841', '内特拉姆', '6.9']
['30459571', '明日之战', '5.9']
['35196097', '关于我妈的一切', '6.3']
['35151297', '王国：北方的阿信', '7.0']
['26615748', '追忆迷局', '6.2']
['35245762', '神偷军团', '6.2']
['26915921', '屏住呼吸2', '6.5']
['35116325', '致命录像带94', '6.3']
['35221424', '之后3', '5.6']
['35516745', '疯神', '7.4']
['30389627', '糖果人', '5.4']
['30327625', '灵魂脱离者', '6.4']
['1431694', '永不消逝的电波', '8.0']
['27179288', '血色天劫', '6.4']
['27177908', '凯特', '6.3']
['34904684', '阿赫德的膝盖', '6.9']
